[0.000000] (-) TimerEvent: {}
[0.000259] (two_wheeled_robot) JobQueued: {'identifier': 'two_wheeled_robot', 'dependencies': OrderedDict()}
[0.217827] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aruco_visual_marker_7/materials\n'}
[0.217888] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aruco_visual_marker_7/materials/scripts\n'}
[0.217968] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aruco_visual_marker_7/materials/scripts/aruco_visual_marker_7_marker.material\n'}
[0.218025] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aruco_visual_marker_7/materials/textures\n'}
[0.218078] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aruco_visual_marker_7/materials/textures/aruco_mark_7.png\n'}
[0.218136] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aws_robomaker_residential_PortraitB_03\n'}
[0.218190] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aws_robomaker_residential_PortraitB_03/model.sdf\n'}
[0.218242] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aws_robomaker_residential_PortraitB_03/model.config\n'}
[0.218297] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aws_robomaker_residential_PortraitB_03/materials\n'}
[0.218351] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aws_robomaker_residential_PortraitB_03/materials/textures\n'}
[0.218405] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aws_robomaker_residential_PortraitB_03/materials/textures/aws_PortraitB_02.png\n'}
[0.218459] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aws_robomaker_residential_PortraitB_03/materials/textures/PortraitB_03.jpg\n'}
[0.218511] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aws_robomaker_residential_PortraitB_03/materials/textures/aws_PortraitB_01.png\n'}
[0.218563] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aws_robomaker_residential_PortraitB_03/meshes\n'}
[0.218616] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aws_robomaker_residential_PortraitB_03/meshes/aws_PortraitB_01_visual.DAE\n'}
[0.218670] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aws_robomaker_residential_PortraitB_03/meshes/aws_PortraitB_01_collision.DAE\n'}
[0.218723] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aruco_visual_marker_2\n'}
[0.218785] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aruco_visual_marker_2/model.sdf\n'}
[0.218843] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aruco_visual_marker_2/model.config\n'}
[0.218904] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aruco_visual_marker_2/materials\n'}
[0.218958] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aruco_visual_marker_2/materials/scripts\n'}
[0.219013] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aruco_visual_marker_2/materials/scripts/aruco_visual_marker_2_marker.material\n'}
[0.219067] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aruco_visual_marker_2/materials/textures\n'}
[0.219120] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aruco_visual_marker_2/materials/textures/aruco_mark_2.png\n'}
[0.219173] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/submarine_sinking\n'}
[0.219226] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/submarine_sinking/model.sdf.erb\n'}
[0.219278] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/submarine_sinking/model.sdf\n'}
[0.219331] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/submarine_sinking/model.config\n'}
[0.219385] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aws_robomaker_warehouse_ShelfE_01\n'}
[0.219446] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aws_robomaker_warehouse_ShelfE_01/.DS_Store\n'}
[0.219501] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aws_robomaker_warehouse_ShelfE_01/model.sdf\n'}
[0.219554] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aws_robomaker_warehouse_ShelfE_01/model.config\n'}
[0.219607] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aws_robomaker_warehouse_ShelfE_01/materials\n'}
[0.219661] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aws_robomaker_warehouse_ShelfE_01/materials/.DS_Store\n'}
[0.219713] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aws_robomaker_warehouse_ShelfE_01/materials/textures\n'}
[0.219767] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aws_robomaker_warehouse_ShelfE_01/materials/textures/aws_robomaker_warehouse_ShelfE_03.png\n'}
[0.219821] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aws_robomaker_warehouse_ShelfE_01/materials/textures/aws_robomaker_warehouse_ShelfE_02.png\n'}
[0.219882] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aws_robomaker_warehouse_ShelfE_01/materials/textures/aws_robomaker_warehouse_ShelfE_04.png\n'}
[0.219938] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aws_robomaker_warehouse_ShelfE_01/materials/textures/aws_robomaker_warehouse_ShelfE_01.png\n'}
[0.219992] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aws_robomaker_warehouse_ShelfE_01/meshes\n'}
[0.220052] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aws_robomaker_warehouse_ShelfE_01/meshes/aws_robomaker_warehouse_ShelfE_01_visual.DAE\n'}
[0.220117] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aws_robomaker_warehouse_ShelfE_01/meshes/aws_robomaker_warehouse_ShelfE_01_collision.DAE\n'}
[0.220172] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/water_tower\n'}
[0.220228] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/water_tower/model.sdf\n'}
[0.220291] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/water_tower/model.config\n'}
[0.220355] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/water_tower/materials\n'}
[0.220410] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/water_tower/materials/textures\n'}
[0.220467] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/water_tower/materials/textures/water_tower_diffuse.jpg\n'}
[0.220521] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/water_tower/materials/textures/water_tower_spec.jpg\n'}
[0.220574] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/water_tower/meshes\n'}
[0.220627] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/water_tower/meshes/water_tower.dae\n'}
[0.220681] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/asphalt_plane\n'}
[0.220734] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/asphalt_plane/model.sdf\n'}
[0.220786] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/asphalt_plane/model-1_4.sdf\n'}
[0.220840] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/asphalt_plane/model.config\n'}
[0.220892] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/asphalt_plane/materials\n'}
[0.220945] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/asphalt_plane/materials/scripts\n'}
[0.220998] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/asphalt_plane/materials/scripts/asphalt.material\n'}
[0.221051] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/asphalt_plane/materials/textures\n'}
[0.221116] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/asphalt_plane/materials/textures/tarmac.png\n'}
[0.221169] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/PotatoChipChair\n'}
[0.221222] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/PotatoChipChair/thumbnails\n'}
[0.221274] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/PotatoChipChair/thumbnails/2.png\n'}
[0.221362] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/PotatoChipChair/thumbnails/3.png\n'}
[0.221447] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/PotatoChipChair/thumbnails/5.png\n'}
[0.221521] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/PotatoChipChair/thumbnails/1.png\n'}
[0.221645] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/PotatoChipChair/thumbnails/4.png\n'}
[0.221719] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/PotatoChipChair/model.sdf\n'}
[0.221792] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/PotatoChipChair/model.config\n'}
[0.221863] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/PotatoChipChair/meshes\n'}
[0.221933] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/PotatoChipChair/meshes/PotatoChipChair.mtl\n'}
[0.222001] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/PotatoChipChair/meshes/PotatoChipChairDiffuse.png\n'}
[0.222070] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/PotatoChipChair/meshes/PotatoChipChair_Col.mtl\n'}
[0.222127] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/PotatoChipChair/meshes/PotatoChipChair_Col.obj\n'}
[0.222180] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/PotatoChipChair/meshes/PotatoChipChair.obj\n'}
[0.222252] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/office_chair\n'}
[0.222308] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/office_chair/model.sdf\n'}
[0.222362] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/office_chair/model.config\n'}
[0.222416] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/office_chair/materials\n'}
[0.222472] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/office_chair/materials/textures\n'}
[0.222526] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/office_chair/materials/textures/office_chair_diffuse.png\n'}
[0.222580] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/office_chair/materials/textures/office_chair_specular.png\n'}
[0.222633] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/office_chair/meshes\n'}
[0.222685] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/office_chair/meshes/office_chair.dae\n'}
[0.222738] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/yellow_target\n'}
[0.222791] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/yellow_target/model.sdf\n'}
[0.222853] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/yellow_target/model.config\n'}
[0.222906] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/yellow_target/meshes\n'}
[0.222958] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/yellow_target/meshes/yellow_target.dae\n'}
[0.223012] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aws_robomaker_residential_AirconditionerA_01\n'}
[0.223065] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aws_robomaker_residential_AirconditionerA_01/model.sdf\n'}
[0.223127] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aws_robomaker_residential_AirconditionerA_01/model.config\n'}
[0.223182] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aws_robomaker_residential_AirconditionerA_01/materials\n'}
[0.223236] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aws_robomaker_residential_AirconditionerA_01/materials/textures\n'}
[0.223288] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aws_robomaker_residential_AirconditionerA_01/materials/textures/aws_AirconditionerA_01.png\n'}
[0.223342] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aws_robomaker_residential_AirconditionerA_01/meshes\n'}
[0.223396] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aws_robomaker_residential_AirconditionerA_01/meshes/aws_AirconditionerA_01_visual.DAE\n'}
[0.223450] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aws_robomaker_residential_AirconditionerA_01/meshes/aws_AirconditionerA_01_collision.DAE\n'}
[0.223503] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aws_robomaker_residential_Chandelier_01\n'}
[0.223555] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aws_robomaker_residential_Chandelier_01/model.sdf\n'}
[0.223609] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aws_robomaker_residential_Chandelier_01/model.config\n'}
[0.223660] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aws_robomaker_residential_Chandelier_01/materials\n'}
[0.223713] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aws_robomaker_residential_Chandelier_01/materials/textures\n'}
[0.223769] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aws_robomaker_residential_Chandelier_01/materials/textures/aws_Chandelier_01.png\n'}
[0.223847] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aws_robomaker_residential_Chandelier_01/meshes\n'}
[0.223907] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aws_robomaker_residential_Chandelier_01/meshes/aws_Chandelier_01_collision.DAE\n'}
[0.223967] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aws_robomaker_residential_Chandelier_01/meshes/aws_Chandelier_01_visual.DAE\n'}
[0.224020] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aws_robomaker_residential_Chandelier_01/meshes/aws_Chandelier_01.DAE\n'}
[0.224075] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/tv_stand\n'}
[0.224128] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/tv_stand/model.sdf\n'}
[0.224181] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/tv_stand/model.config\n'}
[0.224231] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/tv_stand/materials\n'}
[0.224285] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/tv_stand/materials/textures\n'}
[0.224336] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/tv_stand/materials/textures/stand_specular.png\n'}
[0.224399] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/tv_stand/materials/textures/tv_diffuse.png\n'}
[0.224467] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/tv_stand/materials/textures/stand_diffuse.png\n'}
[0.224537] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/tv_stand/materials/textures/tv_specular.png\n'}
[0.224604] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/tv_stand/meshes\n'}
[0.224670] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/tv_stand/meshes/tv_stand.dae\n'}
[0.224736] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/europallet\n'}
[0.224857] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/europallet/model.sdf\n'}
[0.224928] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/europallet/model.config\n'}
[0.224994] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/europallet/materials\n'}
[0.225060] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/europallet/materials/textures\n'}
[0.225127] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/europallet/materials/textures/Wood_Grain_Dark.jpg\n'}
[0.225192] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/europallet/meshes\n'}
[0.225259] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/europallet/meshes/europallet.dae\n'}
[0.225356] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/TrolleyBedPatient\n'}
[0.225411] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/TrolleyBedPatient/thumbnails\n'}
[0.225476] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/TrolleyBedPatient/thumbnails/2.png\n'}
[0.225564] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/TrolleyBedPatient/thumbnails/3.png\n'}
[0.225636] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/TrolleyBedPatient/thumbnails/5.png\n'}
[0.225703] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/TrolleyBedPatient/thumbnails/1.png\n'}
